EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105648) of UNITED KINGDOM, CAMBRIDGE (B. GDNS) (STAID: 1639)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  1639,105648,20010613,    0,    0
  1639,105648,20010614,   28,    0
  1639,105648,20010615,   53,    0
  1639,105648,20010616,  114,    0
  1639,105648,20010617,    0,    0
  1639,105648,20010618,    0,    0
  1639,105648,20010619,    0,    0
  1639,105648,20010620,    0,    0
  1639,105648,20010621,    0,    0
  1639,105648,20010622,    0,    0
  1639,105648,20010623,    0,    0
  1639,105648,20010624,    0,    0
  1639,105648,20010625,    0,    0
  1639,105648,20010626,    0,    0
  1639,105648,20010627,    0,    0
  1639,105648,20010628,    0,    0
  1639,105648,20010629,    0,    0
  1639,105648,20010630,    0,    0
  1639,105648,20010701,    0,    0
  1639,105648,20010702,    0,    0
  1639,105648,20010703,    0,    0
  1639,105648,20010704,    0,    0
  1639,105648,20010705,    0,    0
  1639,105648,20010706,    0,    0
  1639,105648,20010707,   47,    0
  1639,105648,20010708,    0,    0
  1639,105648,20010709,   22,    0
  1639,105648,20010710,   35,    0
  1639,105648,20010711,    0,    0
  1639,105648,20010712,    4,    0
  1639,105648,20010713,    2,    0
  1639,105648,20010714,    2,    0
  1639,105648,20010715,    0,    0
  1639,105648,20010716,    0,    0
  1639,105648,20010717,  184,    0
  1639,105648,20010718,   64,    0
  1639,105648,20010719,   47,    0
  1639,105648,20010720,   36,    0
  1639,105648,20010721,    0,    0
  1639,105648,20010722,    0,    0
  1639,105648,20010723,    0,    0
  1639,105648,20010724,    0,    0
  1639,105648,20010725,    0,    0
  1639,105648,20010726,    0,    0
  1639,105648,20010727,    0,    0
  1639,105648,20010728,    0,    0
  1639,105648,20010729,    0,    0
  1639,105648,20010730,    0,    0
  1639,105648,20010731,    0,    0
  1639,105648,20010801,    0,    0
  1639,105648,20010802,   87,    0
  1639,105648,20010803,    0,    0
  1639,105648,20010804,   60,    0
  1639,105648,20010805,    3,    0
  1639,105648,20010806,   53,    0
  1639,105648,20010807,    2,    0
  1639,105648,20010808,  187,    0
  1639,105648,20010809,  158,    0
  1639,105648,20010810,    0,    0
  1639,105648,20010811,   59,    0
  1639,105648,20010812,   35,    0
  1639,105648,20010813,    0,    0
  1639,105648,20010814,    0,    0
  1639,105648,20010815,    0,    0
  1639,105648,20010816,    0,    0
  1639,105648,20010817,    0,    0
  1639,105648,20010818,   90,    0
  1639,105648,20010819,  138,    0
  1639,105648,20010820,    0,    0
  1639,105648,20010821,    0,    0
  1639,105648,20010822,    0,    0
  1639,105648,20010823,    1,    0
  1639,105648,20010824,    0,    0
  1639,105648,20010825,    0,    0
  1639,105648,20010826,    1,    0
  1639,105648,20010827,    0,    0
  1639,105648,20010828,    0,    0
  1639,105648,20010829,   20,    0
  1639,105648,20010830,    8,    0
  1639,105648,20010831,   28,    0
  1639,105648,20010901,    0,    0
  1639,105648,20010902,   11,    0
  1639,105648,20010903,   33,    0
  1639,105648,20010904,    0,    0
  1639,105648,20010905,  132,    0
  1639,105648,20010906,    0,    0
  1639,105648,20010907,    0,    0
  1639,105648,20010908,    0,    0
  1639,105648,20010909,    0,    0
  1639,105648,20010910,    2,    0
  1639,105648,20010911,    0,    0
  1639,105648,20010912,   12,    0
  1639,105648,20010913,   84,    0
  1639,105648,20010914,    1,    0
  1639,105648,20010915,   45,    0
  1639,105648,20010916,    8,    0
  1639,105648,20010917,   41,    0
  1639,105648,20010918,  109,    0
  1639,105648,20010919,   25,    0
  1639,105648,20010920,   40,    0
  1639,105648,20010921,    0,    0
  1639,105648,20010922,    0,    0
  1639,105648,20010923,   26,    0
  1639,105648,20010924,    1,    0
  1639,105648,20010925,    0,    0
  1639,105648,20010926,    1,    0
  1639,105648,20010927,    0,    0
  1639,105648,20010928,  111,    0
  1639,105648,20010929,    7,    0
  1639,105648,20010930,   15,    0
  1639,105648,20011001,  155,    0
  1639,105648,20011002,    0,    0
  1639,105648,20011003,    0,    0
  1639,105648,20011004,    0,    0
  1639,105648,20011005,    0,    0
  1639,105648,20011006,    1,    0
  1639,105648,20011007,   41,    0
  1639,105648,20011008,   70,    0
  1639,105648,20011009,    2,    0
  1639,105648,20011010,    0,    0
  1639,105648,20011011,    0,    0
  1639,105648,20011012,    0,    0
  1639,105648,20011013,    0,    0
  1639,105648,20011014,    8,    0
  1639,105648,20011015,   65,    0
  1639,105648,20011016,    0,    0
  1639,105648,20011017,   18,    0
  1639,105648,20011018,    0,    0
  1639,105648,20011019,   44,    0
  1639,105648,20011020,  230,    0
  1639,105648,20011021,  306,    0
  1639,105648,20011022,   24,    0
  1639,105648,20011023,   38,    0
  1639,105648,20011024,    5,    0
  1639,105648,20011025,   13,    0
  1639,105648,20011026,   30,    0
  1639,105648,20011027,    5,    0
  1639,105648,20011028,    0,    0
  1639,105648,20011029,    0,    0
  1639,105648,20011030,    7,    0
  1639,105648,20011031,    0,    0
  1639,105648,20011101,    0,    0
  1639,105648,20011102,    0,    0
  1639,105648,20011103,    0,    0
  1639,105648,20011104,    0,    0
  1639,105648,20011105,    2,    0
  1639,105648,20011106,    3,    0
  1639,105648,20011107,   35,    0
  1639,105648,20011108,   73,    0
  1639,105648,20011109,    5,    0
  1639,105648,20011110,    0,    0
  1639,105648,20011111,    3,    0
  1639,105648,20011112,   12,    0
  1639,105648,20011113,    0,    0
  1639,105648,20011114,    0,    0
  1639,105648,20011115,    0,    0
  1639,105648,20011116,    0,    0
  1639,105648,20011117,    0,    0
  1639,105648,20011118,   10,    0
