EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 218611) of UNITED KINGDOM, DURHAM (STAID: 461)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   461,218611,19970101,-9999,    9
   461,218611,19970102,-9999,    9
   461,218611,19970103,-9999,    9
   461,218611,19970104,-9999,    9
   461,218611,19970105,-9999,    9
   461,218611,19970106,-9999,    9
   461,218611,19970107,-9999,    9
   461,218611,19970108,-9999,    9
   461,218611,19970109,-9999,    9
   461,218611,19970110,-9999,    9
   461,218611,19970111,-9999,    9
   461,218611,19970112,-9999,    9
   461,218611,19970113,-9999,    9
   461,218611,19970114,-9999,    9
   461,218611,19970115,-9999,    9
   461,218611,19970116,-9999,    9
   461,218611,19970117,-9999,    9
   461,218611,19970118,-9999,    9
   461,218611,19970119,-9999,    9
   461,218611,19970120,-9999,    9
   461,218611,19970121,-9999,    9
   461,218611,19970122,    0,    0
   461,218611,19970123,    0,    0
   461,218611,19970124,    0,    0
   461,218611,19970125,    0,    0
   461,218611,19970126,    0,    0
   461,218611,19970127,    0,    0
   461,218611,19970128,    0,    0
   461,218611,19970129,    0,    0
   461,218611,19970130,    0,    0
   461,218611,19970131,    0,    0
   461,218611,19970201,    0,    0
   461,218611,19970202,    0,    0
   461,218611,19970203,    0,    0
   461,218611,19970204,    0,    0
   461,218611,19970205,    0,    0
   461,218611,19970206,    0,    0
   461,218611,19970207,    0,    0
   461,218611,19970208,    0,    0
   461,218611,19970209,    0,    0
   461,218611,19970210,    0,    0
   461,218611,19970211,    0,    0
   461,218611,19970212,    0,    0
   461,218611,19970213,    0,    0
   461,218611,19970214,    0,    0
   461,218611,19970215,    0,    0
   461,218611,19970216,    0,    0
   461,218611,19970217,    0,    0
   461,218611,19970218,    0,    0
   461,218611,19970219,    1,    0
   461,218611,19970220,    0,    0
   461,218611,19970221,    0,    0
   461,218611,19970222,    0,    0
   461,218611,19970223,    0,    0
   461,218611,19970224,    0,    0
   461,218611,19970225,    0,    0
   461,218611,19970226,    0,    0
   461,218611,19970227,    0,    0
   461,218611,19970228,    0,    0
   461,218611,19970301,    0,    0
   461,218611,19970302,    0,    0
   461,218611,19970303,    0,    0
   461,218611,19970304,    0,    0
   461,218611,19970305,    0,    0
   461,218611,19970306,    0,    0
   461,218611,19970307,    0,    0
   461,218611,19970308,    0,    0
   461,218611,19970309,    0,    0
   461,218611,19970310,    0,    0
   461,218611,19970311,    0,    0
   461,218611,19970312,    0,    0
   461,218611,19970313,    0,    0
   461,218611,19970314,    0,    0
   461,218611,19970315,    0,    0
   461,218611,19970316,    0,    0
   461,218611,19970317,    0,    0
   461,218611,19970318,    0,    0
   461,218611,19970319,    0,    0
   461,218611,19970320,    0,    0
   461,218611,19970321,    0,    0
   461,218611,19970322,    0,    0
   461,218611,19970323,    0,    0
   461,218611,19970324,    0,    0
   461,218611,19970325,    0,    0
   461,218611,19970326,    0,    0
   461,218611,19970327,-9999,    9
   461,218611,19970328,-9999,    9
   461,218611,19970329,-9999,    9
   461,218611,19970330,-9999,    9
   461,218611,19970331,-9999,    9
   461,218611,19970401,-9999,    9
   461,218611,19970402,-9999,    9
   461,218611,19970403,    8,    0
   461,218611,19970404,    4,    0
   461,218611,19970405,   20,    0
   461,218611,19970406,    0,    0
   461,218611,19970407,    0,    0
   461,218611,19970408,    0,    0
   461,218611,19970409,    0,    0
   461,218611,19970410,    0,    0
   461,218611,19970411,    0,    0
   461,218611,19970412,    0,    0
   461,218611,19970413,    0,    0
   461,218611,19970414,    0,    0
   461,218611,19970415,    0,    0
   461,218611,19970416,    0,    0
   461,218611,19970417,    0,    0
   461,218611,19970418,    0,    0
   461,218611,19970419,    4,    0
   461,218611,19970420,    4,    0
   461,218611,19970421,   10,    0
   461,218611,19970422,    0,    0
   461,218611,19970423,    0,    0
   461,218611,19970424,    6,    0
   461,218611,19970425,    2,    0
   461,218611,19970426,    0,    0
   461,218611,19970427,    6,    0
   461,218611,19970428,   10,    0
   461,218611,19970429,    0,    0
   461,218611,19970430,    0,    0
   461,218611,19970501,    0,    0
   461,218611,19970502,    0,    0
   461,218611,19970503,    2,    0
   461,218611,19970504,   82,    0
   461,218611,19970505,  152,    0
   461,218611,19970506,   18,    0
   461,218611,19970507,   26,    0
   461,218611,19970508,   14,    0
   461,218611,19970509,    2,    0
   461,218611,19970510,   50,    0
   461,218611,19970511,   14,    0
   461,218611,19970512,-9999,    9
   461,218611,19970513,-9999,    9
   461,218611,19970514,-9999,    9
   461,218611,19970515,    0,    0
   461,218611,19970516,   12,    0
   461,218611,19970517,   66,    0
   461,218611,19970518,    4,    0
   461,218611,19970519,    6,    0
   461,218611,19970520,   56,    0
   461,218611,19970521,   18,    0
   461,218611,19970522,    4,    0
   461,218611,19970523,    2,    0
   461,218611,19970524,    0,    0
   461,218611,19970525,    0,    0
   461,218611,19970526,    4,    0
   461,218611,19970527,    0,    0
   461,218611,19970528,    0,    0
   461,218611,19970529,    0,    0
   461,218611,19970530,    0,    0
   461,218611,19970531,    0,    0
   461,218611,19970601,    0,    0
   461,218611,19970602,    2,    0
   461,218611,19970603,    0,    0
   461,218611,19970604,    0,    0
   461,218611,19970605,    6,    0
   461,218611,19970606,   44,    0
   461,218611,19970607,    8,    0
   461,218611,19970608,   68,    0
   461,218611,19970609,   14,    0
   461,218611,19970610,    0,    0
   461,218611,19970611,  200,    0
   461,218611,19970612,  116,    0
   461,218611,19970613,   36,    0
   461,218611,19970614,   30,    0
   461,218611,19970615,    0,    0
   461,218611,19970616,    0,    0
   461,218611,19970617,   30,    0
   461,218611,19970618,    0,    0
   461,218611,19970619,  100,    0
   461,218611,19970620,   28,    0
   461,218611,19970621,   92,    0
   461,218611,19970622,   44,    0
   461,218611,19970623,    0,    0
   461,218611,19970624,    0,    0
   461,218611,19970625,  212,    0
   461,218611,19970626,   22,    0
   461,218611,19970627,   48,    0
   461,218611,19970628,    0,    0
   461,218611,19970629,    2,    0
   461,218611,19970630,   44,    0
   461,218611,19970701,   14,    0
   461,218611,19970702,   30,    0
   461,218611,19970703,    4,    0
   461,218611,19970704,   22,    0
   461,218611,19970705,    0,    0
   461,218611,19970706,    0,    0
